event_type,timestamp,detail
MSG,924266.0,!CAL
MSG,924266.0,!CAL Calibration points:
MSG,924266.0,"!CAL -29.5, -38.6 -0, -0"
MSG,924266.0,"!CAL -30.0, -47.1 -0, -3183"
MSG,924266.0,"!CAL -28.8, -29.0 -0, 3183"
MSG,924266.0,"!CAL -47.5, -37.0 -6000, -0"
MSG,924266.0,"!CAL -9.1, -38.5 6000, -0"
MSG,924266.0,"!CAL 0.0, 0.0 0, 0"
MSG,924266.0,"!CAL eye check box: (L,R,T,B)"
MSG,924266.0,"!CAL href cal range: (L,R,T,B)"
MSG,924266.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,924266.0,"!CAL Prenormalize: offx, offy = -29.54 -38.592"
MSG,924266.0,!CAL Gains: cx:243.990 lx:298.961 rx:204.064
MSG,924266.0,!CAL Gains: cy:116.812 ty:276.204 by:71.610
MSG,924266.0,"!CAL Resolution (upd) at screen center: X=1.1, Y=2.2"
MSG,924266.0,!CAL Gain Change Proportion: X: 0.465 Y: 2.857
MSG,924266.0,!CAL Gain Ratio (Gy/Gx) = 0.479
MSG,924266.0,!CAL Bad Y/X gain ratio: 0.479
MSG,924266.0,"!CAL PCR gain ratio(x,y) = 2.077, 1.971"
MSG,924266.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,924266.0,!CAL Slip rotation correction OFF
MSG,924267.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,942393.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.34 avg. 1.06 max OFFSET 0.31 deg. -4.3,-11.1 pix."
MSG,942393.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.11 deg. 1.2,-3.8 pix."
MSG,942393.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.26 deg. 2.4,-9.6 pix."
MSG,942393.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 1.06 deg. -15.7,-37.0 pix."
MSG,942393.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.66 deg. -14.9,-20.3 pix."
MSG,942393.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.58 deg. -17.9,-13.4 pix."
MSG,966565.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.83 avg. 1.44 max OFFSET 0.74 deg. -24.9,-13.6 pix."
MSG,966565.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.76 deg. -25.0,-14.6 pix."
MSG,966565.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.47 deg. -2.5,-17.7 pix."
MSG,966565.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 1.44 deg. -44.9,-31.6 pix."
MSG,966565.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.87 deg. -31.1,11.0 pix."
MSG,966565.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.67 deg. -22.2,12.3 pix."
MSG,977449.0,NO Reply is disabled for function eyelink_cal_result
MSG,1049238.0,ALL_STORY_START
MSG,1049243.0,RECCFG CR 500 2 0 R
MSG,1049243.0,ELCLCFG MTABLER
MSG,1049243.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1049243.0,THRESHOLDS R 45 161
MSG,1049243.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1049243.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1049243.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1049243.0,ELCL_PROC ELLIPSE (5)
MSG,1049243.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1049244.0,!MODE RECORD CR 500 2 0 R
START,1049245.0,RIGHT SAMPLES EVENTS
SFIX R,1049249.0,
EFIX R,1049249.0,1049371 124 757.4 615.6 900
SSACC R,1049373.0,
SBLINK R,1049419.0,
EBLINK R,1049419.0,1049513 96
ESACC R,1049373.0,1049599 228 755.1 606.7 750.3 629.9 0.64 1565
SFIX R,1049601.0,
EFIX R,1049601.0,1049835 236 747.6 619.8 874
SSACC R,1049837.0,
ESACC R,1049837.0,1049889 54 740.9 611.6 1184.2 537.4 12.05 629
SFIX R,1049891.0,
EFIX R,1049891.0,1050011 122 1180.5 540.0 871
SSACC R,1050013.0,
ESACC R,1050013.0,1050051 40 1178.4 538.4 964.4 568.1 5.82 482
SFIX R,1050053.0,
EFIX R,1050053.0,1050573 522 943.3 585.6 850
SSACC R,1050575.0,
ESACC R,1050575.0,1050625 52 945.3 592.4 1019.1 768.9 5.16 280
SFIX R,1050627.0,
EFIX R,1050627.0,1050783 158 1021.1 772.0 853
SSACC R,1050785.0,
ESACC R,1050785.0,1050857 74 1021.8 768.5 761.3 1615.5 21.25 653
SFIX R,1050859.0,
EFIX R,1050859.0,1050995 138 758.6 1603.3 876
SSACC R,1050997.0,
SBLINK R,1051025.0,
EBLINK R,1051025.0,1051105 82
ESACC R,1050997.0,1051161 166 761.8 1598.4 993.3 636.8 23.88 1865
SFIX R,1051163.0,
EFIX R,1051163.0,1051265 104 996.0 624.5 933
SSACC R,1051267.0,
ESACC R,1051267.0,1051299 34 1001.1 620.3 955.5 573.8 1.76 256
SFIX R,1051301.0,
EFIX R,1051301.0,1051651 352 960.1 557.1 974
SSACC R,1051653.0,
ESACC R,1051653.0,1051673 22 959.4 550.2 977.5 539.6 0.57 88
SFIX R,1051675.0,
EFIX R,1051675.0,1051835 162 977.0 539.3 968
SSACC R,1051837.0,
ESACC R,1051837.0,1051927 92 979.7 541.5 402.8 348.8 15.93 436
SFIX R,1051929.0,
EFIX R,1051929.0,1052003 76 406.4 318.2 889
SSACC R,1052005.0,
ESACC R,1052005.0,1052057 54 402.8 298.0 419.8 332.5 0.99 239
SFIX R,1052059.0,
EFIX R,1052059.0,1052143 86 411.5 326.7 854
SSACC R,1052145.0,
ESACC R,1052145.0,1052199 56 410.9 330.8 896.1 524.8 13.71 551
SFIX R,1052201.0,
EFIX R,1052201.0,1052331 132 897.0 528.7 836
SSACC R,1052333.0,
ESACC R,1052333.0,1052355 24 894.5 526.9 960.6 568.8 2.12 166
SFIX R,1052357.0,
EFIX R,1052357.0,1052489 134 950.0 560.5 840
SSACC R,1052491.0,
SBLINK R,1052549.0,
EBLINK R,1052549.0,1052597 50
ESACC R,1052491.0,1052727 238 949.0 557.1 988.8 583.2 1.29 1345
SFIX R,1052729.0,
EFIX R,1052729.0,1052931 204 979.6 578.3 840
SSACC R,1052933.0,
ESACC R,1052933.0,1052961 30 979.2 585.2 952.9 583.2 0.71 148
SFIX R,1052963.0,
EFIX R,1052963.0,1053045 84 945.5 574.9 859
SSACC R,1053047.0,
SBLINK R,1053077.0,
EBLINK R,1053077.0,1053181 106
ESACC R,1053047.0,1053225 180 944.1 579.1 938.8 537.1 1.15 1991
SFIX R,1053227.0,
EFIX R,1053227.0,1053325 100 939.0 523.8 870
SSACC R,1053327.0,
ESACC R,1053327.0,1053347 22 938.9 525.4 958.7 580.0 1.57 158
SFIX R,1053349.0,
EFIX R,1053349.0,1053493 146 959.6 572.7 859
SSACC R,1053495.0,
SBLINK R,1053521.0,
EBLINK R,1053521.0,1053693 174
ESACC R,1053495.0,1053749 256 959.4 582.1 853.6 592.9 2.88 2144
SFIX R,1053751.0,
EFIX R,1053751.0,1053909 160 854.0 568.8 855
SSACC R,1053911.0,
ESACC R,1053911.0,1053945 36 853.6 565.7 924.8 537.7 2.07 245
SFIX R,1053947.0,
EFIX R,1053947.0,1054115 170 929.9 538.8 831
SSACC R,1054117.0,
ESACC R,1054117.0,1054131 16 927.7 532.4 948.1 565.4 1.05 80
SFIX R,1054133.0,
EFIX R,1054133.0,1054387 256 947.1 561.5 848
