event_type,timestamp,detail
MSG,1407926.0,!CAL
MSG,1407926.0,!CAL Calibration points:
MSG,1407926.0,"!CAL -35.5, -35.8 -0, -0"
MSG,1407926.0,"!CAL -36.5, -47.5 -0, -3183"
MSG,1407926.0,"!CAL -34.6, -24.1 -0, 3183"
MSG,1407926.0,"!CAL -60.9, -34.2 -6000, -0"
MSG,1407926.0,"!CAL -10.3, -37.5 6000, -0"
MSG,1407926.0,"!CAL 0.0, 0.0 0, 0"
MSG,1407926.0,"!CAL eye check box: (L,R,T,B)"
MSG,1407926.0,"!CAL href cal range: (L,R,T,B)"
MSG,1407926.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1407926.0,"!CAL Prenormalize: offx, offy = -35.468 -35.804"
MSG,1407926.0,!CAL Gains: cx:241.311 lx:237.013 rx:245.622
MSG,1407926.0,!CAL Gains: cy:267.160 ty:269.697 by:265.005
MSG,1407926.0,"!CAL Resolution (upd) at screen center: X=1.1, Y=1.0"
MSG,1407926.0,!CAL Gain Change Proportion: X: 0.036 Y: 0.018
MSG,1407926.0,!CAL Gain Ratio (Gy/Gx) = 1.107
MSG,1407926.0,"!CAL PCR gain ratio(x,y) = 2.116, 1.999"
MSG,1407926.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1407926.0,!CAL Slip rotation correction OFF
MSG,1407926.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1417733.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.50 avg. 0.62 max OFFSET 0.44 deg. -5.5,-15.7 pix."
MSG,1417733.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.50 deg. -4.7,-18.2 pix."
MSG,1417733.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.62 deg. -10.1,-21.3 pix."
MSG,1417733.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.24 deg. 2.2,-9.0 pix."
MSG,1417733.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.60 deg. 3.5,-22.5 pix."
MSG,1417733.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.54 deg. -20.8,-0.2 pix."
MSG,1429811.0,NO Reply is disabled for function eyelink_cal_result
MSG,1524164.0,ALL_STORY_START
MSG,1524169.0,RECCFG CR 500 2 0 R
MSG,1524169.0,ELCLCFG MTABLER
MSG,1524169.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1524169.0,THRESHOLDS R 55 204
MSG,1524169.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1524169.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1524169.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1524169.0,ELCL_PROC ELLIPSE (5)
MSG,1524169.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1524170.0,!MODE RECORD CR 500 2 0 R
START,1524171.0,RIGHT SAMPLES EVENTS
SSACC R,1524173.0,
SBLINK R,1524173.0,
EBLINK R,1524173.0,1524283 112
ESACC R,1524173.0,1524363 192 . . 898.6 466.7 3.6e+06 851
SFIX R,1524365.0,
EFIX R,1524365.0,1524627 264 892.2 444.5 2281
SSACC R,1524629.0,
ESACC R,1524629.0,1524657 30 889.4 439.0 789.8 374.6 3.20 184
SFIX R,1524659.0,
EFIX R,1524659.0,1524965 308 793.3 385.9 2300
SSACC R,1524967.0,
SBLINK R,1525003.0,
EBLINK R,1525003.0,1525073 72
ESACC R,1524967.0,1525187 222 796.7 381.7 993.7 500.9 6.21 1565
SFIX R,1525189.0,
EFIX R,1525189.0,1526815 1628 972.5 468.8 2263
SSACC R,1526817.0,
SBLINK R,1526851.0,
EBLINK R,1526851.0,1526933 84
ESACC R,1526817.0,1527009 194 964.7 467.5 969.3 542.4 2.03 1531
SFIX R,1527011.0,
EFIX R,1527011.0,1527333 324 960.2 500.6 2242
SSACC R,1527335.0,
ESACC R,1527335.0,1527349 16 957.4 492.4 967.4 477.5 0.49 54
SFIX R,1527351.0,
EFIX R,1527351.0,1527901 552 958.7 483.7 2186
SSACC R,1527903.0,
ESACC R,1527903.0,1527907 6 947.8 476.0 950.2 471.3 0.14 43
SFIX R,1527909.0,
EFIX R,1527909.0,1528343 436 954.3 474.1 2199
SSACC R,1528345.0,
SBLINK R,1528377.0,
EBLINK R,1528377.0,1528527 152
ESACC R,1528345.0,1528623 280 952.4 470.1 938.1 509.6 1.14 1404
SFIX R,1528625.0,
EFIX R,1528625.0,1528931 308 939.2 487.4 2244
SSACC R,1528933.0,
ESACC R,1528933.0,1528973 42 945.9 477.5 733.9 436.7 5.82 291
SFIX R,1528975.0,
EFIX R,1528975.0,1529277 304 732.9 450.2 2245
SSACC R,1529279.0,
ESACC R,1529279.0,1529311 34 735.8 457.1 923.4 482.7 5.10 325
SFIX R,1529313.0,
EFIX R,1529313.0,1529519 208 929.1 479.4 2188
SSACC R,1529521.0,
ESACC R,1529521.0,1529599 80 931.5 489.4 980.6 492.3 1.33 209
SFIX R,1529601.0,
EFIX R,1529601.0,1530393 794 966.3 487.6 2213
SSACC R,1530395.0,
ESACC R,1530395.0,1530411 18 970.3 496.5 980.9 502.1 0.32 54
SFIX R,1530413.0,
EFIX R,1530413.0,1530885 474 974.5 498.0 2183
SSACC R,1530887.0,
SBLINK R,1530919.0,
