event_type,timestamp,detail
MSG,1925806.0,!CAL
MSG,1925806.0,!CAL Calibration points:
MSG,1925806.0,"!CAL -50.2, -59.8 -0, -0"
MSG,1925806.0,"!CAL -53.2, -77.8 -0, -3183"
MSG,1925806.0,"!CAL -46.6, -41.2 -0, 3183"
MSG,1925806.0,"!CAL -92.1, -56.9 -6000, -0"
MSG,1925806.0,"!CAL -8.1, -61.0 6000, -0"
MSG,1925806.0,"!CAL 0.0, 0.0 0, 0"
MSG,1925806.0,"!CAL eye check box: (L,R,T,B)"
MSG,1925806.0,"!CAL href cal range: (L,R,T,B)"
MSG,1925806.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1925806.0,"!CAL Prenormalize: offx, offy = -50.216 -59.771"
MSG,1925806.0,!CAL Gains: cx:142.186 lx:141.821 rx:143.117
MSG,1925806.0,!CAL Gains: cy:155.182 ty:168.273 by:147.551
MSG,1925806.0,"!CAL Resolution (upd) at screen center: X=1.8, Y=1.7"
MSG,1925806.0,!CAL Gain Change Proportion: X: 0.009 Y: 0.140
MSG,1925806.0,!CAL Gain Ratio (Gy/Gx) = 1.091
MSG,1925806.0,"!CAL PCR gain ratio(x,y) = 3.010, 2.314"
MSG,1925806.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1925806.0,!CAL Slip rotation correction OFF
MSG,1925806.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1951143.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.53 avg. 1.12 max OFFSET 0.35 deg. -6.1,11.9 pix."
MSG,1951143.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.27 deg. -9.3,5.0 pix."
MSG,1951143.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.77 deg. 6.4,28.3 pix."
MSG,1951143.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.84 deg. -20.9,-24.5 pix."
