event_type,timestamp,detail
MSG,1767698.0,!CAL
MSG,1767698.0,!CAL Calibration points:
MSG,1767698.0,"!CAL -43.8, -45.8 -0, -0"
MSG,1767698.0,"!CAL -45.9, -57.0 -0, -3183"
MSG,1767698.0,"!CAL -42.8, -28.8 -0, 3183"
MSG,1767698.0,"!CAL -74.2, -40.2 -6000, -0"
MSG,1767698.0,"!CAL -15.5, -44.3 6000, -0"
MSG,1767698.0,"!CAL 0.0, 0.0 0, 0"
MSG,1767698.0,"!CAL eye check box: (L,R,T,B)"
MSG,1767698.0,"!CAL href cal range: (L,R,T,B)"
MSG,1767698.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1767698.0,"!CAL Prenormalize: offx, offy = -43.798 -45.822"
MSG,1767698.0,!CAL Gains: cx:252.062 lx:208.081 rx:314.929
MSG,1767698.0,!CAL Gains: cy:208.270 ty:61.974 by:432.996
MSG,1767698.0,"!CAL Resolution (upd) at screen center: X=1.0, Y=1.3"
MSG,1767698.0,!CAL Gain Change Proportion: X: 0.513 Y: 5.987
MSG,1767698.0,!CAL Y Nonlinearity Proportion too large
MSG,1767698.0,"!CAL PCR gain ratio(x,y) = 2.235, 2.197"
MSG,1767698.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1767698.0,!CAL Slip rotation correction OFF
MSG,1767699.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1782709.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.59 avg. 0.95 max OFFSET 0.28 deg. -1.2,10.7 pix."
MSG,1782709.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.53 deg. -7.5,18.6 pix."
MSG,1782709.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.95 deg. -11.0,34.2 pix."
MSG,1782709.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.63 deg. 2.5,-23.5 pix."
MSG,1782709.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.86 deg. 28.4,16.2 pix."
MSG,1782709.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.25 deg. 9.2,2.4 pix."
MSG,1799761.0,NO Reply is disabled for function eyelink_cal_result
MSG,1881843.0,ALL_STORY_START
MSG,1881848.0,RECCFG CR 500 2 0 R
MSG,1881848.0,ELCLCFG MTABLER
MSG,1881848.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1881848.0,THRESHOLDS R 64 201
MSG,1881848.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1881848.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1881848.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1881848.0,ELCL_PROC ELLIPSE (5)
MSG,1881848.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1881849.0,!MODE RECORD CR 500 2 0 R
START,1881850.0,RIGHT SAMPLES EVENTS
SFIX R,1881854.0,
EFIX R,1881854.0,1881896 44 984.1 475.1 6167
SSACC R,1881898.0,
SBLINK R,1881922.0,
EBLINK R,1881922.0,1882052 132
ESACC R,1881898.0,1882092 196 981.5 481.3 1146.5 499.5 4.48 997
SFIX R,1882094.0,
EFIX R,1882094.0,1882290 198 1134.1 553.2 6165
SSACC R,1882292.0,
ESACC R,1882292.0,1882324 34 1133.6 561.3 956.5 492.9 5.13 321
SFIX R,1882326.0,
EFIX R,1882326.0,1882510 186 963.7 501.3 6159
SSACC R,1882512.0,
SBLINK R,1882536.0,
EBLINK R,1882536.0,1882664 130
ESACC R,1882512.0,1882704 194 962.1 509.6 971.4 495.8 0.45 929
SFIX R,1882706.0,
