event_type,timestamp,detail
MSG,1092448.0,!CAL
MSG,1092448.0,!CAL Calibration points:
MSG,1092448.0,"!CAL -31.1, -48.9 -0, -0"
MSG,1092448.0,"!CAL -32.3, -58.6 -0, -3183"
MSG,1092448.0,"!CAL -30.3, -39.9 -0, 3183"
MSG,1092448.0,"!CAL -50.7, -46.8 -6000, -0"
MSG,1092448.0,"!CAL -12.1, -51.6 6000, -0"
MSG,1092448.0,"!CAL 0.0, 0.0 0, 0"
MSG,1092448.0,"!CAL eye check box: (L,R,T,B)"
MSG,1092448.0,"!CAL href cal range: (L,R,T,B)"
MSG,1092448.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1092448.0,"!CAL Prenormalize: offx, offy = -31.141 -48.948"
MSG,1092448.0,!CAL Gains: cx:328.047 lx:312.896 rx:343.667
MSG,1092448.0,!CAL Gains: cy:519.684 ty:378.980 by:566.712
MSG,1092448.0,"!CAL Resolution (upd) at screen center: X=0.8, Y=0.5"
MSG,1092448.0,!CAL Gain Change Proportion: X: 0.098 Y: 0.495
MSG,1092448.0,!CAL Gain Ratio (Gy/Gx) = 1.584
MSG,1092448.0,"!CAL PCR gain ratio(x,y) = 2.349, 2.495"
MSG,1092448.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1092448.0,!CAL Slip rotation correction OFF
MSG,1092448.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1103703.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.24 avg. 0.40 max OFFSET 0.14 deg. -4.5,3.0 pix."
MSG,1103703.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.22 deg. -8.3,-1.7 pix."
MSG,1103703.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.13 deg. -2.4,4.3 pix."
MSG,1103703.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.29 deg. -7.6,8.1 pix."
MSG,1103703.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.40 deg. 10.3,11.3 pix."
MSG,1103703.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.20 deg. -3.1,7.0 pix."
MSG,1114216.0,NO Reply is disabled for function eyelink_cal_result
MSG,1186315.0,ALL_STORY_START
MSG,1186320.0,RECCFG CR 500 2 0 R
MSG,1186320.0,ELCLCFG MTABLER
MSG,1186320.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1186320.0,THRESHOLDS R 42 166
MSG,1186320.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1186320.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1186320.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1186320.0,ELCL_PROC ELLIPSE (5)
MSG,1186320.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1186321.0,!MODE RECORD CR 500 2 0 R
