event_type,timestamp,detail
MSG,1798108.0,!CAL
MSG,1798108.0,!CAL Calibration points:
MSG,1798108.0,"!CAL -41.6, -45.4 -0, -0"
MSG,1798108.0,"!CAL -41.4, -55.1 -0, -3183"
MSG,1798108.0,"!CAL -40.5, -36.3 -0, 3183"
MSG,1798108.0,"!CAL -60.6, -44.7 -6000, -0"
MSG,1798108.0,"!CAL -21.3, -45.7 6000, -0"
MSG,1798108.0,"!CAL 0.0, 0.0 0, 0"
MSG,1798108.0,"!CAL eye check box: (L,R,T,B)"
MSG,1798108.0,"!CAL href cal range: (L,R,T,B)"
MSG,1798108.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1798108.0,"!CAL Prenormalize: offx, offy = -41.567 -45.419"
MSG,1798108.0,!CAL Gains: cx:254.218 lx:289.168 rx:220.530
MSG,1798108.0,!CAL Gains: cy:549.427 ty:413.840 by:669.717
MSG,1798108.0,"!CAL Resolution (upd) at screen center: X=1.0, Y=0.5"
MSG,1798108.0,!CAL Gain Change Proportion: X: 0.311 Y: 0.618
MSG,1798108.0,!CAL Gain Ratio (Gy/Gx) = 2.161
MSG,1798108.0,"!CAL PCR gain ratio(x,y) = 2.244, 2.055"
MSG,1798108.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1798108.0,!CAL Slip rotation correction OFF
MSG,1798108.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1811733.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.86 avg. 1.18 max OFFSET 0.80 deg. 30.8,-1.4 pix."
MSG,1811733.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 1.18 deg. 44.8,-8.7 pix."
MSG,1811733.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.28 deg. -3.1,10.2 pix."
MSG,1811733.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.34 deg. 8.4,9.7 pix."
MSG,1811734.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.65 deg. 24.2,7.2 pix."
MSG,1811734.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.54 deg. 20.2,5.2 pix."
MSG,1821578.0,NO Reply is disabled for function eyelink_cal_result
