event_type,timestamp,detail
MSG,1481253.0,!CAL
MSG,1481253.0,!CAL Calibration points:
MSG,1481253.0,"!CAL -37.2, -36.7 -0, -0"
MSG,1481253.0,"!CAL -39.1, -50.2 -0, -3183"
MSG,1481253.0,"!CAL -35.8, -22.8 -0, 3183"
MSG,1481253.0,"!CAL -65.6, -33.8 -6000, -0"
MSG,1481253.0,"!CAL -8.1, -37.9 6000, -0"
MSG,1481253.0,"!CAL 0.0, 0.0 0, 0"
MSG,1481253.0,"!CAL eye check box: (L,R,T,B)"
MSG,1481253.0,"!CAL href cal range: (L,R,T,B)"
MSG,1481253.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1481253.0,"!CAL Prenormalize: offx, offy = -37.177 -36.68"
MSG,1481253.0,!CAL Gains: cx:202.505 lx:207.348 rx:199.461
MSG,1481253.0,!CAL Gains: cy:208.351 ty:221.783 by:196.703
MSG,1481253.0,"!CAL Resolution (upd) at screen center: X=1.3, Y=1.3"
MSG,1481253.0,!CAL Gain Change Proportion: X: 0.040 Y: 0.128
MSG,1481253.0,!CAL Gain Ratio (Gy/Gx) = 1.029
MSG,1481253.0,"!CAL PCR gain ratio(x,y) = 2.190, 1.961"
MSG,1481253.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1481253.0,!CAL Slip rotation correction OFF
MSG,1481253.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1493538.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.64 avg. 1.14 max OFFSET 0.56 deg. -13.5,-16.5 pix."
MSG,1493538.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.55 deg. -18.6,-9.7 pix."
MSG,1493538.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.21 deg. 7.2,-3.9 pix."
MSG,1493538.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.97 deg. -14.2,-34.1 pix."
MSG,1493538.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 1.14 deg. -8.1,-42.5 pix."
MSG,1493538.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.36 deg. -14.0,-0.4 pix."
MSG,1504898.0,NO Reply is disabled for function eyelink_cal_result
MSG,1605163.0,ALL_STORY_START
MSG,1605168.0,RECCFG CR 500 2 0 R
MSG,1605168.0,ELCLCFG MTABLER
MSG,1605168.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1605168.0,THRESHOLDS R 56 188
MSG,1605168.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1605168.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1605168.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1605168.0,ELCL_PROC ELLIPSE (5)
MSG,1605168.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
START,1605169.0,RIGHT SAMPLES EVENTS
MSG,1605169.0,!MODE RECORD CR 500 2 0 R
SFIX R,1605173.0,
EFIX R,1605173.0,1605963 792 1132.6 582.0 2824
SSACC R,1605965.0,
ESACC R,1605965.0,1605987 24 1135.7 578.8 1034.4 543.0 2.90 222
SFIX R,1605989.0,
EFIX R,1605989.0,1606099 112 1030.8 545.0 2875
SSACC R,1606101.0,
ESACC R,1606101.0,1606121 22 1029.2 546.9 975.3 531.0 1.52 139
SFIX R,1606123.0,
EFIX R,1606123.0,1607317 1196 973.3 538.8 2826
SSACC R,1607319.0,
SBLINK R,1607359.0,
EBLINK R,1607359.0,1607449 92
ESACC R,1607319.0,1607519 202 978.8 527.9 1002.2 517.8 0.69 1007
SFIX R,1607521.0,
EFIX R,1607521.0,1607685 166 992.4 528.0 2806
SSACC R,1607687.0,
ESACC R,1607687.0,1607703 18 990.9 535.0 962.4 537.0 0.77 81
SFIX R,1607705.0,
EFIX R,1607705.0,1608791 1088 968.7 542.3 2687
SSACC R,1608793.0,
SBLINK R,1608835.0,
EBLINK R,1608835.0,1608927 94
ESACC R,1608793.0,1609005 214 976.2 531.0 982.7 549.4 0.53 1058
SFIX R,1609007.0,
EFIX R,1609007.0,1609441 436 979.4 533.0 2835
SSACC R,1609443.0,
ESACC R,1609443.0,1609451 10 976.2 538.2 959.7 533.1 0.47 57
SFIX R,1609453.0,
EFIX R,1609453.0,1609801 350 974.4 537.7 2901
SSACC R,1609803.0,
SBLINK R,1609843.0,
EBLINK R,1609843.0,1609933 92
ESACC R,1609803.0,1609993 192 991.1 540.1 968.9 535.6 0.61 887
SFIX R,1609995.0,
EFIX R,1609995.0,1610341 348 961.8 530.5 2958
SSACC R,1610343.0,
ESACC R,1610343.0,1610353 12 962.4 536.6 984.2 545.1 0.63 65
SFIX R,1610355.0,
EFIX R,1610355.0,1611317 964 979.4 541.3 2856
SSACC R,1611319.0,
SBLINK R,1611355.0,
EBLINK R,1611355.0,1611461 108
ESACC R,1611319.0,1611575 258 990.7 526.9 1020.7 533.6 0.83 1159
SFIX R,1611577.0,
EFIX R,1611577.0,1611699 124 1007.7 526.4 2938
SSACC R,1611701.0,
ESACC R,1611701.0,1611711 12 995.0 531.7 975.4 512.8 0.74 83
SFIX R,1611713.0,
EFIX R,1611713.0,1612133 422 983.7 512.0 2947
SSACC R,1612135.0,
SBLINK R,1612167.0,
EBLINK R,1612167.0,1612321 156
ESACC R,1612135.0,1612423 290 989.9 519.4 1037.1 524.5 1.29 1222
SFIX R,1612425.0,
EFIX R,1612425.0,1612539 116 1027.5 521.8 2949
SSACC R,1612541.0,
ESACC R,1612541.0,1612557 18 1022.4 531.1 983.3 513.7 1.16 110
SFIX R,1612559.0,
EFIX R,1612559.0,1613239 682 998.5 522.9 2948
SSACC R,1613241.0,
