event_type,timestamp,detail
MSG,1809275.0,!CAL
MSG,1809275.0,!CAL Calibration points:
MSG,1809275.0,"!CAL -26.8, -28.9 -0, -0"
MSG,1809275.0,"!CAL -27.1, -38.0 -0, -3183"
MSG,1809275.0,"!CAL -26.6, -20.1 -0, 3183"
MSG,1809275.0,"!CAL -43.7, -28.3 -6000, -0"
MSG,1809275.0,"!CAL -8.8, -28.8 6000, -0"
MSG,1809275.0,"!CAL 0.0, 0.0 0, 0"
MSG,1809275.0,"!CAL eye check box: (L,R,T,B)"
MSG,1809275.0,"!CAL href cal range: (L,R,T,B)"
MSG,1809276.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1809276.0,"!CAL Prenormalize: offx, offy = -26.793 -28.869"
MSG,1809276.0,!CAL Gains: cx:305.150 lx:336.824 rx:275.198
MSG,1809276.0,!CAL Gains: cy:408.178 ty:374.970 by:436.292
MSG,1809276.0,"!CAL Resolution (upd) at screen center: X=0.9, Y=0.6"
MSG,1809276.0,!CAL Gain Change Proportion: X: 0.224 Y: 0.164
MSG,1809276.0,!CAL Gain Ratio (Gy/Gx) = 1.338
MSG,1809276.0,"!CAL PCR gain ratio(x,y) = 2.299, 2.060"
MSG,1809276.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1809276.0,!CAL Slip rotation correction OFF
MSG,1809276.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1830415.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.63 avg. 0.94 max OFFSET 0.34 deg. 2.8,-12.6 pix."
MSG,1830415.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.69 deg. 1.9,-26.2 pix."
MSG,1830415.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.88 deg. 30.6,13.6 pix."
MSG,1830415.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.34 deg. 12.6,-3.6 pix."
MSG,1830415.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.94 deg. -29.8,19.9 pix."
MSG,1830415.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.27 deg. -6.7,-7.9 pix."
MSG,1842147.0,NO Reply is disabled for function eyelink_cal_result
MSG,1919114.0,ALL_STORY_START
MSG,1919119.0,RECCFG CR 500 2 0 R
MSG,1919119.0,ELCLCFG MTABLER
MSG,1919119.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1919119.0,THRESHOLDS R 56 197
MSG,1919119.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1919119.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1919119.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1919119.0,ELCL_PROC ELLIPSE (5)
MSG,1919119.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1919120.0,!MODE RECORD CR 500 2 0 R
START,1919121.0,RIGHT SAMPLES EVENTS
SFIX R,1919127.0,
EFIX R,1919127.0,1919243 118 706.0 444.7 1333
SSACC R,1919245.0,
ESACC R,1919245.0,1919289 46 699.1 442.4 956.2 451.8 6.92 391
SFIX R,1919291.0,
EFIX R,1919291.0,1919629 340 940.1 449.7 1303
SSACC R,1919631.0,
ESACC R,1919631.0,1919651 22 939.1 452.5 937.8 451.0 0.05 62
SFIX R,1919653.0,
EFIX R,1919653.0,1919857 206 941.5 440.2 1314
SSACC R,1919859.0,
ESACC R,1919859.0,1919887 30 945.1 448.8 1008.3 503.7 2.27 283
SFIX R,1919889.0,
EFIX R,1919889.0,1920075 188 1015.7 507.0 1343
SSACC R,1920077.0,
SBLINK R,1920095.0,
EBLINK R,1920095.0,1922317 2224
ESACC R,1920077.0,1922349 2274 1020.8 506.0 992.4 580.2 2.15 956
SFIX R,1922351.0,
EFIX R,1922351.0,1922481 132 986.8 582.5 1361
SSACC R,1922483.0,
ESACC R,1922483.0,1922519 38 985.6 591.2 1006.7 495.4 2.66 372
SFIX R,1922521.0,
EFIX R,1922521.0,1923521 1002 983.4 481.2 1210
SSACC R,1923523.0,
ESACC R,1923523.0,1923537 16 974.8 474.4 977.5 500.0 0.70 75
SFIX R,1923539.0,
EFIX R,1923539.0,1926273 2736 990.2 480.6 1296
SSACC R,1926275.0,
ESACC R,1926275.0,1926289 16 983.2 476.8 980.2 472.3 0.15 50
SFIX R,1926291.0,
EFIX R,1926291.0,1926601 312 983.1 469.9 1361
SSACC R,1926603.0,
SBLINK R,1926625.0,
EBLINK R,1926625.0,1926759 136
ESACC R,1926603.0,1926835 234 984.2 476.9 1013.8 440.4 1.27 2025
SFIX R,1926837.0,
EFIX R,1926837.0,1926871 36 1010.4 450.7 1383
SSACC R,1926873.0,
ESACC R,1926873.0,1926893 22 1008.2 457.1 1006.1 474.3 0.47 118
SFIX R,1926895.0,
EFIX R,1926895.0,1927461 568 1015.3 488.6 1283
