event_type,timestamp,detail
MSG,979456.0,!CAL
MSG,979456.0,!CAL Calibration points:
MSG,979456.0,"!CAL -33.6, -31.3 -0, -0"
MSG,979456.0,"!CAL -34.7, -44.4 -0, -3183"
MSG,979456.0,"!CAL -32.4, -19.7 -0, 3183"
MSG,979456.0,"!CAL -61.7, -29.7 -6000, -0"
MSG,979456.0,"!CAL -5.9, -32.3 6000, -0"
MSG,979456.0,"!CAL 0.0, 0.0 0, 0"
MSG,979456.0,"!CAL eye check box: (L,R,T,B)"
MSG,979456.0,"!CAL href cal range: (L,R,T,B)"
MSG,979456.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,979456.0,"!CAL Prenormalize: offx, offy = -33.608 -31.33"
MSG,979456.0,!CAL Gains: cx:218.160 lx:214.529 rx:222.151
MSG,979456.0,!CAL Gains: cy:364.926 ty:301.986 by:439.647
MSG,979456.0,"!CAL Resolution (upd) at screen center: X=1.2, Y=0.7"
MSG,979456.0,!CAL Gain Change Proportion: X: 0.036 Y: 0.456
MSG,979456.0,!CAL Gain Ratio (Gy/Gx) = 1.673
MSG,979456.0,"!CAL PCR gain ratio(x,y) = 2.066, 1.735"
MSG,979456.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,979456.0,!CAL Slip rotation correction OFF
MSG,979456.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,992817.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.88 avg. 1.31 max OFFSET 0.63 deg. 9.1,-22.2 pix."
MSG,992817.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 1.31 deg. 12.7,-48.2 pix."
MSG,992817.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.29 deg. 9.1,6.3 pix."
MSG,992817.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.17 deg. 4.7,4.7 pix."
MSG,992817.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.59 deg. 20.8,9.0 pix."
MSG,992817.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.36 deg. -5.3,12.6 pix."
MSG,1002351.0,NO Reply is disabled for function eyelink_cal_result
MSG,1099979.0,ALL_STORY_START
MSG,1100001.0,RECCFG CR 500 2 0 R
MSG,1100001.0,ELCLCFG MTABLER
MSG,1100001.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1100001.0,THRESHOLDS R 56 188
