event_type,timestamp,detail
MSG,1302300.0,!CAL
MSG,1302300.0,!CAL Calibration points:
MSG,1302300.0,"!CAL -34.2, -41.2 -0, -0"
MSG,1302300.0,"!CAL -35.7, -51.1 -0, -3183"
MSG,1302300.0,"!CAL -32.9, -32.4 -0, 3183"
MSG,1302300.0,"!CAL -53.3, -38.7 -6000, -0"
MSG,1302300.0,"!CAL -14.8, -43.6 6000, -0"
MSG,1302300.0,"!CAL 0.0, 0.0 0, 0"
MSG,1302300.0,"!CAL eye check box: (L,R,T,B)"
MSG,1302300.0,"!CAL href cal range: (L,R,T,B)"
MSG,1302300.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1302300.0,"!CAL Prenormalize: offx, offy = -34.24 -41.173"
MSG,1302300.0,!CAL Gains: cx:295.402 lx:305.331 rx:285.559
MSG,1302300.0,!CAL Gains: cy:589.068 ty:424.393 by:693.195
MSG,1302300.0,"!CAL Resolution (upd) at screen center: X=0.9, Y=0.4"
MSG,1302300.0,!CAL Gain Change Proportion: X: 0.069 Y: 0.633
MSG,1302300.0,!CAL Gain Ratio (Gy/Gx) = 1.994
MSG,1302300.0,"!CAL PCR gain ratio(x,y) = 1.991, 1.840"
MSG,1302300.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1302300.0,!CAL Slip rotation correction OFF
MSG,1302300.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1321602.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.59 avg. 0.93 max OFFSET 0.14 deg. 5.0,1.4 pix."
MSG,1321602.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.49 deg. 11.2,-14.8 pix."
MSG,1321602.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.33 deg. 9.7,8.3 pix."
MSG,1321602.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.93 deg. -15.8,31.8 pix."
MSG,1321602.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.57 deg. 21.8,2.1 pix."
MSG,1321602.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.91 deg. -20.3,28.2 pix."
MSG,1332433.0,NO Reply is disabled for function eyelink_cal_result
MSG,1400417.0,ALL_STORY_START
MSG,1400422.0,RECCFG CR 500 2 0 R
MSG,1400422.0,ELCLCFG MTABLER
MSG,1400422.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1400422.0,THRESHOLDS R 68 204
MSG,1400422.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1400422.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1400422.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1400422.0,ELCL_PROC ELLIPSE (5)
MSG,1400422.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1400423.0,!MODE RECORD CR 500 2 0 R
START,1400424.0,RIGHT SAMPLES EVENTS
SFIX R,1400428.0,
EFIX R,1400428.0,1400618 192 846.2 409.1 1357
SSACC R,1400620.0,
ESACC R,1400620.0,1400656 38 851.0 415.6 701.5 403.7 4.03 203
SFIX R,1400658.0,
EFIX R,1400658.0,1400830 174 709.2 406.8 1359
SSACC R,1400832.0,
ESACC R,1400832.0,1400874 44 712.4 409.4 987.2 419.5 7.40 328
SFIX R,1400876.0,
EFIX R,1400876.0,1400986 112 971.6 421.6 1370
SSACC R,1400988.0,
ESACC R,1400988.0,1401028 42 970.4 419.2 1250.6 425.7 7.52 405
SFIX R,1401030.0,
EFIX R,1401030.0,1401172 144 1240.5 426.1 1384
SSACC R,1401174.0,
ESACC R,1401174.0,1401220 48 1239.0 425.0 989.1 469.2 6.81 411
SFIX R,1401222.0,
EFIX R,1401222.0,1401750 530 978.3 485.3 1398
SSACC R,1401752.0,
SBLINK R,1401780.0,
EBLINK R,1401780.0,1401894 116
ESACC R,1401752.0,1401988 238 981.4 499.2 962.9 449.4 1.44 1994
SFIX R,1401990.0,
EFIX R,1401990.0,1402010 22 964.2 446.2 1423
SSACC R,1402012.0,
ESACC R,1402012.0,1402044 34 965.2 445.7 993.1 505.0 1.78 174
SFIX R,1402046.0,
EFIX R,1402046.0,1402692 648 978.6 522.6 1344
SSACC R,1402694.0,
ESACC R,1402694.0,1402714 22 968.6 532.8 976.5 517.8 0.46 85
SFIX R,1402716.0,
EFIX R,1402716.0,1403316 602 974.2 520.9 1351
SSACC R,1403318.0,
