event_type,timestamp,detail
MSG,4741853.0,!CAL
MSG,4741853.0,!CAL Calibration points:
MSG,4741853.0,"!CAL -37.6, -23.9 -0, -0"
MSG,4741853.0,"!CAL -39.7, -35.3 -0, -3183"
MSG,4741853.0,"!CAL -36.3, -12.5 -0, 3183"
MSG,4741853.0,"!CAL -64.0, -22.0 -6000, -0"
MSG,4741853.0,"!CAL -11.3, -23.9 6000, -0"
MSG,4741853.0,"!CAL 0.0, 0.0 0, 0"
MSG,4741853.0,"!CAL eye check box: (L,R,T,B)"
MSG,4741853.0,"!CAL href cal range: (L,R,T,B)"
MSG,4741853.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,4741853.0,"!CAL Prenormalize: offx, offy = -37.562 -23.884"
MSG,4741853.0,!CAL Gains: cx:233.737 lx:227.100 rx:243.567
MSG,4741853.0,!CAL Gains: cy:280.267 ty:279.265 by:292.132
MSG,4741853.0,"!CAL Resolution (upd) at screen center: X=1.1, Y=0.9"
MSG,4741853.0,!CAL Gain Change Proportion: X: 0.073 Y: 0.046
MSG,4741853.0,!CAL Gain Ratio (Gy/Gx) = 1.199
MSG,4741853.0,"!CAL PCR gain ratio(x,y) = 2.126, 1.726"
MSG,4741853.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,4741853.0,!CAL Slip rotation correction OFF
MSG,4741853.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,4758310.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.82 avg. 1.13 max OFFSET 0.80 deg. 7.4,-29.4 pix."
MSG,4758310.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.74 deg. 3.0,-27.9 pix."
MSG,4758310.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 1.13 deg. 26.9,-33.8 pix."
MSG,4758310.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.64 deg. 3.2,-24.0 pix."
MSG,4758310.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 1.12 deg. 5.5,-42.4 pix."
MSG,4758310.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.23 deg. 2.6,-8.5 pix."
MSG,4771235.0,NO Reply is disabled for function eyelink_cal_result
MSG,4841040.0,ALL_STORY_START
MSG,4841045.0,RECCFG CR 500 2 0 R
MSG,4841045.0,ELCLCFG MTABLER
MSG,4841045.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,4841045.0,THRESHOLDS R 55 204
MSG,4841045.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,4841045.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,4841045.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,4841045.0,ELCL_PROC ELLIPSE (5)
MSG,4841045.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
START,4841046.0,RIGHT SAMPLES EVENTS
MSG,4841046.0,!MODE RECORD CR 500 2 0 R
SSACC R,4841048.0,
SBLINK R,4841048.0,
EBLINK R,4841048.0,4842606 1560
ESACC R,4841048.0,4842666 1620 . . 971.2 466.3 3.7e+06 2483
SFIX R,4842668.0,
EFIX R,4842668.0,4842780 114 973.6 474.9 2039
SSACC R,4842782.0,
SBLINK R,4842792.0,
EBLINK R,4842792.0,4842794 4
ESACC R,4842782.0,4842802 22 . . 971.2 466.3 3.8e+06 0
SFIX R,4842804.0,
EFIX R,4842804.0,4842848 46 975.8 479.6 2006
SSACC R,4842850.0,
SBLINK R,4842860.0,
EBLINK R,4842860.0,4842908 50
ESACC R,4842850.0,4842916 68 . . 971.2 466.3 3.8e+06 0
SFIX R,4842918.0,
