event_type,timestamp,detail
MSG,1541369.0,!CAL
MSG,1541369.0,!CAL Calibration points:
MSG,1541369.0,"!CAL -48.0, -45.3 -0, -0"
MSG,1541369.0,"!CAL -50.0, -56.7 -0, -3183"
MSG,1541369.0,"!CAL -46.1, -32.0 -0, 3183"
MSG,1541369.0,"!CAL -78.7, -41.8 -6000, -0"
MSG,1541369.0,"!CAL -19.5, -45.2 6000, -0"
MSG,1541369.0,"!CAL 0.0, 0.0 0, 0"
MSG,1541369.0,"!CAL eye check box: (L,R,T,B)"
MSG,1541369.0,"!CAL href cal range: (L,R,T,B)"
MSG,1541369.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1541369.0,"!CAL Prenormalize: offx, offy = -48.027 -45.296"
MSG,1541369.0,!CAL Gains: cx:241.995 lx:208.041 rx:282.974
MSG,1541369.0,!CAL Gains: cy:57.497 ty:158.879 by:62.477
MSG,1541369.0,"!CAL Resolution (upd) at screen center: X=1.1, Y=4.6"
MSG,1541369.0,!CAL Gain Change Proportion: X: 0.360 Y: 1.543
MSG,1541369.0,!CAL Gain Ratio (Gy/Gx) = 0.238
MSG,1541369.0,!CAL Bad Y/X gain ratio: 0.238
MSG,1541369.0,"!CAL PCR gain ratio(x,y) = 2.721, 2.237"
MSG,1541369.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1541369.0,!CAL Slip rotation correction OFF
MSG,1541370.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1555781.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.59 avg. 0.87 max OFFSET 0.55 deg. 19.1,8.8 pix."
MSG,1555781.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.65 deg. 22.2,11.8 pix."
MSG,1555781.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.87 deg. 31.9,9.9 pix."
MSG,1555781.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.40 deg. 8.9,12.2 pix."
MSG,1555781.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.68 deg. 25.3,6.7 pix."
MSG,1555781.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.15 deg. -1.8,-5.6 pix."
MSG,1567312.0,NO Reply is disabled for function eyelink_cal_result
MSG,1651811.0,ALL_STORY_START
MSG,1651816.0,RECCFG CR 500 2 0 R
MSG,1651816.0,ELCLCFG MTABLER
MSG,1651816.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1651816.0,THRESHOLDS R 66 204
MSG,1651816.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1651816.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1651816.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1651816.0,ELCL_PROC ELLIPSE (5)
MSG,1651816.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
MSG,1651817.0,!MODE RECORD CR 500 2 0 R
START,1651818.0,RIGHT SAMPLES EVENTS
SFIX R,1651822.0,
EFIX R,1651822.0,1652302 482 1135.2 537.1 2879
SSACC R,1652304.0,
SBLINK R,1652336.0,
EBLINK R,1652336.0,1652538 204
ESACC R,1652304.0,1652622 320 1135.5 514.8 1116.3 427.2 2.42 1517
SFIX R,1652624.0,
EFIX R,1652624.0,1652690 68 1117.4 430.0 2987
SSACC R,1652692.0,
ESACC R,1652692.0,1652716 26 1112.7 429.6 1006.1 430.7 2.88 217
SFIX R,1652718.0,
EFIX R,1652718.0,1653052 336 1005.1 441.8 2940
SSACC R,1653054.0,
SBLINK R,1653090.0,
EBLINK R,1653090.0,1653258 170
ESACC R,1653054.0,1653326 274 1006.4 444.9 1099.8 549.8 3.80 1581
SFIX R,1653328.0,
