event_type,timestamp,detail
MSG,896324.0,!CAL
MSG,896324.0,!CAL Calibration points:
MSG,896324.0,"!CAL -25.4, -31.4 -0, -0"
MSG,896324.0,"!CAL -26.3, -41.1 -0, -3183"
MSG,896324.0,"!CAL -24.6, -23.6 -0, 3183"
MSG,896324.0,"!CAL -45.4, -30.7 -6000, -0"
MSG,896324.0,"!CAL -5.6, -33.5 6000, -0"
MSG,896324.0,"!CAL 0.0, 0.0 0, 0"
MSG,896324.0,"!CAL eye check box: (L,R,T,B)"
MSG,896324.0,"!CAL href cal range: (L,R,T,B)"
MSG,896324.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,896324.0,"!CAL Prenormalize: offx, offy = -25.433 -31.437"
MSG,896324.0,!CAL Gains: cx:304.888 lx:301.007 rx:312.057
MSG,896324.0,!CAL Gains: cy:748.317 ty:477.778 by:912.939
MSG,896324.0,"!CAL Resolution (upd) at screen center: X=0.9, Y=0.4"
MSG,896324.0,!CAL Gain Change Proportion: X: 0.037 Y: 0.911
MSG,896324.0,!CAL Gain Ratio (Gy/Gx) = 2.454
MSG,896324.0,"!CAL PCR gain ratio(x,y) = 1.912, 1.516"
MSG,896324.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,896324.0,!CAL Slip rotation correction OFF
MSG,896324.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,909674.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.75 avg. 1.43 max OFFSET 0.62 deg. 22.9,-7.2 pix."
MSG,909674.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.57 deg. 15.7,-15.4 pix."
MSG,909674.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.47 deg. -1.8,-17.9 pix."
MSG,909674.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.78 deg. 29.9,3.0 pix."
MSG,909674.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 1.43 deg. 54.9,5.1 pix."
MSG,909674.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.70 deg. 20.3,17.6 pix."
MSG,920385.0,NO Reply is disabled for function eyelink_cal_result
MSG,995131.0,ALL_STORY_START
MSG,995136.0,RECCFG CR 500 2 0 R
MSG,995136.0,ELCLCFG MTABLER
MSG,995136.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,995136.0,THRESHOLDS R 53 201
MSG,995136.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,995136.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,995136.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,995136.0,ELCL_PROC ELLIPSE (5)
MSG,995136.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
START,995137.0,RIGHT SAMPLES EVENTS
MSG,995137.0,!MODE RECORD CR 500 2 0 R
SFIX R,995141.0,
EFIX R,995141.0,995205 66 1021.9 439.5 891
SSACC R,995207.0,
ESACC R,995207.0,995237 32 1022.5 437.2 1212.4 458.0 5.14 348
SFIX R,995239.0,
EFIX R,995239.0,995805 568 1208.6 462.1 912
SSACC R,995807.0,
ESACC R,995807.0,995839 34 1201.9 466.5 1012.6 505.2 5.20 321
SFIX R,995841.0,
EFIX R,995841.0,996019 180 1021.1 504.5 1004
SSACC R,996021.0,
ESACC R,996021.0,996029 10 1021.4 508.8 1007.4 520.0 0.49 61
SFIX R,996031.0,
EFIX R,996031.0,996507 478 1007.0 527.8 1033
SSACC R,996509.0,
SBLINK R,996525.0,
EBLINK R,996525.0,996679 156
ESACC R,996509.0,996705 198 998.2 531.0 987.3 461.3 1.91 1225
SFIX R,996707.0,
EFIX R,996707.0,996833 128 982.3 475.2 1048
SSACC R,996835.0,
ESACC R,996835.0,996845 12 983.8 479.5 1002.4 497.0 0.69 72
SFIX R,996847.0,
EFIX R,996847.0,998161 1316 1015.2 518.5 1035
SSACC R,998163.0,
ESACC R,998163.0,998169 8 1021.8 530.5 1010.7 526.7 0.32 47
SFIX R,998171.0,
EFIX R,998171.0,998663 494 1009.7 532.8 1007
SSACC R,998665.0,
SBLINK R,998681.0,
EBLINK R,998681.0,998851 172
ESACC R,998665.0,998885 222 1000.8 543.4 1006.5 486.7 1.54 1426
SFIX R,998887.0,
EFIX R,998887.0,999061 176 1004.1 494.3 1046
SSACC R,999063.0,
ESACC R,999063.0,999071 10 1006.3 499.4 1022.5 501.3 0.44 52
SFIX R,999073.0,
EFIX R,999073.0,999609 538 1030.9 513.1 1021
SSACC R,999611.0,
ESACC R,999611.0,999617 8 1037.7 523.2 1050.4 521.0 0.35 52
SFIX R,999619.0,
EFIX R,999619.0,999871 254 1047.0 522.0 971
SSACC R,999873.0,
ESACC R,999873.0,999879 8 1044.4 521.1 1033.6 526.1 0.32 51
SFIX R,999881.0,
EFIX R,999881.0,1000117 238 1033.7 528.7 977
SSACC R,1000119.0,
SBLINK R,1000135.0,
EBLINK R,1000135.0,1000315 182
ESACC R,1000119.0,1000347 230 1023.7 535.7 1021.4 511.1 0.67 1495
SFIX R,1000349.0,
EFIX R,1000349.0,1000493 146 1020.8 517.4 928
SSACC R,1000495.0,
ESACC R,1000495.0,1000503 10 1021.7 516.2 1032.2 504.1 0.43 54
SFIX R,1000505.0,
EFIX R,1000505.0,1001307 804 1024.7 508.6 842
SSACC R,1001309.0,
ESACC R,1001309.0,1001325 18 1011.1 517.3 1036.7 510.4 0.72 72
SFIX R,1001327.0,
EFIX R,1001327.0,1001563 238 1026.3 501.1 720
SSACC R,1001565.0,
ESACC R,1001565.0,1001575 12 1017.2 499.1 994.4 508.6 0.67 73
SFIX R,1001577.0,
EFIX R,1001577.0,1001853 278 993.2 509.4 704
SSACC R,1001855.0,
SBLINK R,1001871.0,
EBLINK R,1001871.0,1002049 180
ESACC R,1001855.0,1002073 220 976.2 514.9 1013.3 469.4 1.59 1599
SFIX R,1002075.0,
EFIX R,1002075.0,1002435 362 1009.3 489.0 655
SSACC R,1002437.0,
ESACC R,1002437.0,1002449 14 1012.1 495.6 985.2 501.2 0.74 71
SFIX R,1002451.0,
EFIX R,1002451.0,1003105 656 982.0 505.3 710
SSACC R,1003107.0,
ESACC R,1003107.0,1003117 12 982.6 514.4 1004.5 509.5 0.61 64
SFIX R,1003119.0,
EFIX R,1003119.0,1003361 244 1003.6 506.4 760
SSACC R,1003363.0,
ESACC R,1003363.0,1003375 14 1006.5 511.5 982.0 516.7 0.68 66
SFIX R,1003377.0,
EFIX R,1003377.0,1004627 1252 994.6 521.1 865
SSACC R,1004629.0,
SBLINK R,1004645.0,
EBLINK R,1004645.0,1004813 170
ESACC R,1004629.0,1004851 224 984.3 538.2 1003.9 493.1 1.33 1557
SFIX R,1004853.0,
EFIX R,1004853.0,1005245 394 1005.2 501.3 858
SSACC R,1005247.0,
ESACC R,1005247.0,1005253 8 1004.8 508.4 993.8 507.1 0.30 44
SFIX R,1005255.0,
EFIX R,1005255.0,1005793 540 991.5 501.2 835
SSACC R,1005795.0,
ESACC R,1005795.0,1005817 24 989.5 506.3 1032.6 501.0 1.18 80
SFIX R,1005819.0,
EFIX R,1005819.0,1006161 344 1020.9 503.8 870
SSACC R,1006163.0,
ESACC R,1006163.0,1006173 12 1017.1 505.6 991.1 507.3 0.71 74
SFIX R,1006175.0,
EFIX R,1006175.0,1007523 1350 1008.0 515.1 938
SSACC R,1007525.0,
SBLINK R,1007543.0,
EBLINK R,1007543.0,1007737 196
ESACC R,1007525.0,1007773 250 1006.1 532.1 1015.4 475.7 1.55 1439
SFIX R,1007775.0,
EFIX R,1007775.0,1008323 550 1011.1 490.2 933
SSACC R,1008325.0,
ESACC R,1008325.0,1008331 8 996.6 496.0 1001.8 506.6 0.32 51
SFIX R,1008333.0,
EFIX R,1008333.0,1008799 468 1005.6 509.7 817
SSACC R,1008801.0,
ESACC R,1008801.0,1008817 18 1011.9 512.8 998.1 504.4 0.44 62
SFIX R,1008819.0,
EFIX R,1008819.0,1009903 1086 1005.2 515.4 916
SSACC R,1009905.0,
SBLINK R,1009921.0,
EBLINK R,1009921.0,1010273 354
ESACC R,1009905.0,1010305 402 1002.0 525.3 1004.9 1150.6 16.26 2160
SFIX R,1010307.0,
EFIX R,1010307.0,1010387 82 1003.9 1160.2 902
SSACC R,1010389.0,
ESACC R,1010389.0,1010411 24 1005.0 1165.8 923.2 1218.8 2.49 205
SFIX R,1010413.0,
EFIX R,1010413.0,1010813 402 935.9 1215.4 932
SSACC R,1010815.0,
SBLINK R,1010839.0,
EBLINK R,1010839.0,1010849 12
ESACC R,1010815.0,1010879 66 934.4 1214.1 1020.5 509.1 18.34 1490
SFIX R,1010881.0,
EFIX R,1010881.0,1011187 308 1019.6 496.1 989
SSACC R,1011189.0,
ESACC R,1011189.0,1011201 14 1018.7 495.8 994.0 478.2 0.82 81
SFIX R,1011203.0,
EFIX R,1011203.0,1011807 606 1007.6 492.0 1052
SSACC R,1011809.0,
ESACC R,1011809.0,1011815 8 1013.2 505.3 1025.8 511.2 0.38 54
SFIX R,1011817.0,
EFIX R,1011817.0,1012323 508 1023.9 508.9 1025
SSACC R,1012325.0,
ESACC R,1012325.0,1012351 28 1026.9 509.9 1010.0 507.9 0.46 126
SFIX R,1012353.0,
EFIX R,1012353.0,1012687 336 1008.0 504.4 1014
SSACC R,1012689.0,
ESACC R,1012689.0,1012695 8 1006.5 503.0 1017.8 507.0 0.32 48
SFIX R,1012697.0,
EFIX R,1012697.0,1013387 692 1020.3 514.5 1025
SSACC R,1013389.0,
SBLINK R,1013407.0,
EBLINK R,1013407.0,1013603 198
ESACC R,1013389.0,1013635 248 1014.8 516.0 1043.9 437.5 2.27 1310
SFIX R,1013637.0,
EFIX R,1013637.0,1013861 226 1048.2 452.0 1033
SSACC R,1013863.0,
ESACC R,1013863.0,1013879 18 1047.9 460.1 1016.4 489.5 1.17 101
SFIX R,1013881.0,
EFIX R,1013881.0,1014801 922 1030.2 505.4 958
SSACC R,1014803.0,
ESACC R,1014803.0,1014875 74 1027.9 515.7 402.1 668.8 16.88 424
SFIX R,1014877.0,
EFIX R,1014877.0,1015041 166 385.7 677.6 948
SSACC R,1015043.0,
ESACC R,1015043.0,1015101 60 376.8 686.4 976.2 483.8 16.55 558
SFIX R,1015103.0,
EFIX R,1015103.0,1015323 222 982.6 484.0 957
SSACC R,1015325.0,
SBLINK R,1015341.0,
EBLINK R,1015341.0,1015525 186
ESACC R,1015325.0,1015561 238 983.4 487.0 1089.0 458.4 2.96 1460
SFIX R,1015563.0,
EFIX R,1015563.0,1015633 72 1090.6 467.2 993
SSACC R,1015635.0,
