event_type,timestamp,detail
MSG,1031230.0,!CAL
MSG,1031230.0,!CAL Calibration points:
MSG,1031230.0,"!CAL -31.4, -45.6 -0, -0"
MSG,1031230.0,"!CAL -32.2, -54.3 -0, -3183"
MSG,1031230.0,"!CAL -30.8, -39.8 -0, 3183"
MSG,1031230.0,"!CAL -49.5, -44.7 -6000, -0"
MSG,1031230.0,"!CAL -32.9, -48.1 6000, -0"
MSG,1031230.0,"!CAL 0.0, 0.0 0, 0"
MSG,1031230.0,"!CAL eye check box: (L,R,T,B)"
MSG,1031230.0,"!CAL href cal range: (L,R,T,B)"
MSG,1031230.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1031230.0,"!CAL Prenormalize: offx, offy = -31.403 -45.551"
MSG,1031230.0,!CAL Gains: cx:31484.004 lx:11616.779 rx:51351.207
MSG,1031230.0,!CAL Gains: cy:3157.982 ty:1471.494 by:3824.437
MSG,1031230.0,"!CAL Resolution (upd) at screen center: X=0.0, Y=0.1"
MSG,1031230.0,!CAL Gain Change Proportion: X: 3.420 Y: 1.599
MSG,1031230.0,!CAL X Nonlinearity Proportion too large
MSG,1031230.0,"!CAL PCR gain ratio(x,y) = 2.226, 2.004"
MSG,1031230.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1031230.0,!CAL Slip rotation correction OFF
MSG,1031230.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1042222.0,!CAL
MSG,1042222.0,!CAL Calibration points:
MSG,1042222.0,"!CAL -31.4, -49.4 -0, -0"
MSG,1042222.0,"!CAL -30.1, -48.9 -0, -3183"
MSG,1042222.0,"!CAL -30.3, -42.2 -0, 3183"
MSG,1042222.0,"!CAL -49.7, -46.5 -6000, -0"
MSG,1042222.0,"!CAL -12.8, -49.6 6000, -0"
MSG,1042222.0,"!CAL 0.0, 0.0 0, 0"
MSG,1042222.0,"!CAL eye check box: (L,R,T,B)"
