event_type,timestamp,detail
MSG,8927938.0,!CAL
MSG,8927938.0,!CAL Calibration points:
MSG,8927939.0,"!CAL -44.4, -53.2 -0, -0"
MSG,8927939.0,"!CAL -45.4, -67.0 -0, -3183"
MSG,8927939.0,"!CAL -42.5, -38.8 -0, 3183"
MSG,8927939.0,"!CAL -73.5, -50.1 -6000, -0"
MSG,8927939.0,"!CAL -15.2, -54.5 6000, -0"
MSG,8927939.0,"!CAL 0.0, 0.0 0, 0"
MSG,8927939.0,"!CAL eye check box: (L,R,T,B)"
MSG,8927939.0,"!CAL href cal range: (L,R,T,B)"
MSG,8927939.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,8927939.0,"!CAL Prenormalize: offx, offy = -44.432 -53.16"
MSG,8927939.0,!CAL Gains: cx:204.728 lx:204.551 rx:206.788
MSG,8927939.0,!CAL Gains: cy:192.938 ty:211.336 by:188.985
MSG,8927939.0,"!CAL Resolution (upd) at screen center: X=1.3, Y=1.4"
MSG,8927939.0,!CAL Gain Change Proportion: X: 0.011 Y: 0.118
MSG,8927939.0,!CAL Gain Ratio (Gy/Gx) = 0.942
MSG,8927939.0,!CAL Bad Y/X gain ratio: 0.942
MSG,8927939.0,"!CAL PCR gain ratio(x,y) = 2.222, 2.058"
MSG,8927939.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,8927939.0,!CAL Slip rotation correction OFF
MSG,8927939.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,8946962.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.59 avg. 1.08 max OFFSET 0.54 deg. -12.9,-16.1 pix."
MSG,8946962.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.44 deg. -10.0,-13.3 pix."
MSG,8946962.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 1.08 deg. -33.5,-24.3 pix."
MSG,8946962.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.65 deg. -17.1,-18.1 pix."
MSG,8946962.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.57 deg. -21.4,5.1 pix."
