start_time,end_time
1750438.0,1750534.0
1752076.0,1752296.0
1752858.0,1753178.0
1753228.0,1753228.0
1753646.0,1753868.0
1755086.0,1755216.0
1755780.0,1756554.0
1757864.0,1758032.0
1759832.0,1760054.0
1761224.0,1761358.0
1762614.0,1762862.0
1764694.0,1764880.0
1766744.0,1767050.0
1768076.0,1768176.0
1769362.0,1769478.0
1771662.0,1771728.0
1771840.0,1772012.0
1773374.0,1773598.0
1773756.0,1773940.0
1775636.0,1775774.0
1776086.0,1776200.0
1778758.0,1778902.0
1780684.0,1780836.0
1782440.0,1782630.0
1786516.0,1786678.0
1789518.0,1789656.0
1791436.0,1791556.0
1793746.0,1793922.0
1797574.0,1797700.0
1799196.0,1799362.0
1800662.0,1800856.0
1803152.0,1803318.0
1804894.0,1805030.0
1807950.0,1808080.0
1810312.0,1810544.0
1813784.0,1814028.0
1815472.0,1815472.0
1817100.0,1817236.0
1820086.0,1820256.0
1824130.0,1824286.0
1827254.0,1827564.0
1829454.0,1829594.0
1831072.0,1831200.0
1834092.0,1834318.0
1837506.0,1837702.0
1840690.0,1840840.0
1842456.0,1842456.0
1843126.0,1843400.0
1846202.0,1846362.0
1851554.0,1851732.0
1854516.0,1854702.0
1858966.0,1859116.0
1862970.0,1863280.0
1866214.0,1866336.0
1868272.0,1868366.0
1869570.0,1869686.0
1870822.0,1871032.0
1872522.0,1872684.0
1874090.0,1874244.0
1876592.0,1876770.0
1879876.0,1879996.0
1881682.0,1881904.0
1884952.0,1885142.0
1887262.0,1887506.0
1891400.0,1891558.0
1894178.0,1894284.0
1896278.0,1896554.0
1898266.0,1898484.0
1901124.0,1901320.0
1904096.0,1904486.0
1907658.0,1908532.0
1910378.0,1910552.0
1913326.0,1913580.0
1916412.0,1916722.0
1917184.0,1917542.0
1920308.0,1920458.0
1922614.0,1922998.0
1925046.0,1925356.0
1926204.0,1926410.0
1927938.0,1928124.0
1929404.0,1929568.0
1930566.0,1930752.0
1931762.0,1932092.0
1932376.0,1932624.0
1933488.0,1933738.0
1934872.0,1935002.0
1935638.0,1935818.0
1937758.0,1937956.0
1939736.0,1939854.0
1941024.0,1941214.0
1942656.0,1942868.0
1945026.0,1945168.0
1946262.0,1946438.0
1947646.0,1947944.0
1950238.0,1950380.0
1951342.0,1951796.0
1953202.0,1953382.0
1954484.0,1954660.0
1955188.0,1955394.0
1956788.0,1956982.0
1958134.0,1958290.0
1959892.0,1960080.0
1961398.0,1961708.0
1963528.0,1963948.0
1966642.0,1966828.0
1968678.0,1968816.0
1969800.0,1969968.0
1973108.0,1973294.0
1975120.0,1975314.0
1975748.0,1976134.0
1979314.0,1979558.0
1981740.0,1981924.0
1984550.0,1984896.0
1985492.0,1986198.0
1987558.0,1987750.0
1989770.0,1989910.0
1991308.0,1991708.0
1994292.0,1994456.0
1996660.0,1996724.0
1998284.0,1998756.0
2000338.0,2000598.0
2002710.0,2003112.0
2006538.0,2006630.0
2006772.0,2006948.0
2009866.0,2009940.0
2010690.0,2010916.0
2014414.0,2014554.0
2016334.0,2016516.0
2017858.0,2018188.0
2020266.0,2020498.0
2021664.0,2021946.0
2022294.0,2022562.0
2023400.0,2023684.0
2023918.0,2024584.0
2025310.0,2025458.0
2027936.0,2028122.0
2029108.0,2029716.0
2030932.0,2031090.0
2031470.0,2031876.0
2032840.0,2033042.0
2035592.0,2036170.0
2037452.0,2037676.0
2038458.0,2038650.0
2039880.0,2040076.0
2040604.0,2041426.0
2042124.0,2042158.0
2042284.0,2042372.0
2043126.0,2043296.0
2044348.0,2044504.0
2044952.0,2046010.0
2047444.0,2049312.0
2049384.0,2049420.0
2049472.0,2049504.0
2049548.0,2049560.0
2049996.0,2050114.0
2050236.0,2050246.0
2051064.0,2051196.0
2051540.0,2051630.0
2052560.0,2052718.0
2052790.0,2052790.0
2053870.0,2054346.0
2054520.0,2054590.0
2055288.0,2055442.0
2056202.0,2056604.0
2058080.0,2058552.0
2059142.0,2059158.0
2059590.0,2059768.0
2060624.0,2060890.0
2061914.0,2062110.0
2063272.0,2063538.0
2064340.0,2064470.0
2064566.0,2064568.0
2065784.0,2065940.0
2067524.0,2067686.0
2068506.0,2068806.0
2069048.0,2069122.0
2070366.0,2072426.0
2072488.0,2072586.0
2072636.0,2072894.0
2073002.0,2073002.0
2073154.0,2073166.0
2074968.0,2075194.0
2075404.0,2075462.0
2075770.0,2076288.0
2078512.0,2079088.0
2079264.0,2079266.0
2079468.0,2079514.0
2079598.0,2079646.0
2079792.0,2079870.0
2080380.0,2080494.0
2081328.0,2081510.0
2082298.0,2082486.0
2083096.0,2083250.0
2083826.0,2083966.0
2084594.0,2084728.0
2085078.0,2085378.0
2085568.0,2085568.0
2086876.0,2087076.0
2087664.0,2088140.0
2088192.0,2088782.0
2088828.0,2088828.0
2088980.0,2088982.0
2089024.0,2089026.0
2089116.0,2089120.0
2089168.0,2089736.0
2089800.0,2090046.0
2090094.0,2090112.0
2090158.0,2090174.0
2090252.0,2091472.0
2091590.0,2091596.0
2091646.0,2091694.0
2091856.0,2091860.0
2091908.0,2091910.0
2091960.0,2091960.0
2092062.0,2092130.0
2092232.0,2092510.0
2092554.0,2092644.0
2092736.0,2092792.0
2092868.0,2093020.0
2093098.0,2093118.0
2093254.0,2093370.0
2093442.0,2093724.0
2093828.0,2093976.0
2094108.0,2094158.0
2094238.0,2094310.0
2094404.0,2094418.0
2094470.0,2095012.0
2095082.0,2095188.0
2095606.0,2095658.0
2095782.0,2095818.0
2095870.0,2095912.0
2096216.0,2096458.0
2096592.0,2096594.0
2096710.0,2096824.0
2097030.0,2097464.0
2097792.0,2098060.0
2098106.0,2098194.0
2098246.0,2098270.0
2098360.0,2098360.0
2098612.0,2098658.0
2098718.0,2098722.0
2098790.0,2099314.0
2099386.0,2099432.0
2099514.0,2099594.0
2099690.0,2100980.0
2101218.0,2101234.0
2101288.0,2101676.0
2101728.0,2101796.0
2101858.0,2101876.0
2102206.0,2102478.0
2103004.0,2103004.0
2103052.0,2103052.0
2103190.0,2103192.0
2103360.0,2103360.0
2103430.0,2103772.0
2103846.0,2103846.0
2103902.0,2103950.0
2104012.0,2104052.0
2104098.0,2104124.0
2104290.0,2104306.0
2104420.0,2104434.0
2104606.0,2104628.0
2105132.0,2105140.0
2105218.0,2105430.0
2105568.0,2105568.0
2105650.0,2105692.0
2105856.0,2105876.0
2105962.0,2106204.0
2106326.0,2106366.0
2106682.0,2106682.0
2106818.0,2106824.0
2106880.0,2107180.0
2107426.0,2107834.0
2107894.0,2108154.0
2108206.0,2108594.0
2108680.0,2108764.0
2109214.0,2110050.0
2110252.0,2110308.0
2110638.0,2110650.0
2110750.0,2111026.0
2111162.0,2111194.0
2111256.0,2111270.0
2111348.0,2111366.0
2111416.0,2111652.0
2111738.0,2111798.0
2111866.0,2111914.0
2111976.0,2112002.0
2112048.0,2112540.0
2112600.0,2112648.0
2112700.0,2112734.0
2112790.0,2112900.0
2113088.0,2113100.0
2113210.0,2113620.0
2113786.0,2113790.0
2113910.0,2113950.0
2114014.0,2114014.0
2114622.0,2114626.0
2114710.0,2115294.0
2115350.0,2115366.0
2116110.0,2116394.0
2116676.0,2116676.0
2116946.0,2117194.0
2117246.0,2117252.0
2117296.0,2117356.0
2117450.0,2117530.0
2117650.0,2117700.0
2117954.0,2118076.0
2118216.0,2118276.0
2118462.0,2118522.0
2118582.0,2118840.0
2119238.0,2119466.0
2119636.0,2119638.0
2119866.0,2119870.0
2120070.0,2120096.0
2120194.0,2120534.0
2120644.0,2120664.0
2120782.0,2120854.0
2120962.0,2120962.0
2121038.0,2121058.0
2121702.0,2121704.0
2121822.0,2122218.0
2122418.0,2122468.0
2122950.0,2123170.0
2123304.0,2123334.0
2123450.0,2123456.0
2123514.0,2123810.0
2124088.0,2124092.0
2124256.0,2124258.0
2124336.0,2124340.0
2124404.0,2124782.0
2125204.0,2125238.0
2125634.0,2126054.0
2126112.0,2126376.0
2126512.0,2126512.0
2126588.0,2126588.0
2126840.0,2127032.0
2127228.0,2127228.0
2127272.0,2127316.0
2127374.0,2127382.0
2127838.0,2127878.0
2127940.0,2128050.0
2128132.0,2128778.0
2128844.0,2128960.0
2129086.0,2129206.0
2129288.0,2129358.0
2129602.0,2129610.0
2129756.0,2129786.0
2129890.0,2130268.0
2130480.0,2130600.0
2130748.0,2130778.0
2130934.0,2130936.0
2131026.0,2131038.0
2131096.0,2131520.0
2131574.0,2131578.0
2131774.0,2131824.0
2131928.0,2131930.0
2132848.0,2132988.0
2134062.0,2134198.0
2134786.0,2134938.0
2136254.0,2136460.0
2138702.0,2139124.0
2142308.0,2144064.0
2148090.0,2148278.0
2153848.0,2154002.0
2155300.0,2155480.0
2157140.0,2157236.0
2157344.0,2157484.0
2159490.0,2159640.0
2161910.0,2162040.0
2163140.0,2163286.0
2164698.0,2164700.0
2165268.0,2165392.0
2166652.0,2166834.0
2169900.0,2169996.0
2172530.0,2172856.0
2174400.0,2174548.0
2175980.0,2176194.0
2176728.0,2176890.0
2178680.0,2178844.0
2179912.0,2180062.0
2181182.0,2181434.0
2182168.0,2182420.0
2182470.0,2182472.0
2182558.0,2183454.0
2183672.0,2184258.0
2184934.0,2185158.0
2186236.0,2186442.0
2187730.0,2187848.0
2188756.0,2188880.0
2190122.0,2190286.0
2191248.0,2191440.0
2192120.0,2192200.0
2192526.0,2192532.0
2192624.0,2192628.0
2192712.0,2192888.0
2194128.0,2194288.0
2195110.0,2195242.0
2195938.0,2196134.0
2196498.0,2196632.0
2197360.0,2197530.0
2199420.0,2199576.0
2200038.0,2202670.0
2203260.0,2203528.0
2204578.0,2206726.0
2207412.0,2209676.0
2210256.0,2210416.0
2211264.0,2211392.0
2212158.0,2212340.0
2212584.0,2212854.0
2213212.0,2213212.0
2213258.0,2213286.0
2213626.0,2213626.0
2213688.0,2214048.0
2214824.0,2215472.0
2216182.0,2216284.0
2217162.0,2217352.0
2217950.0,2218512.0
2219442.0,2219594.0
2220890.0,2221086.0
2222636.0,2222984.0
2223036.0,2223038.0
2223674.0,2223736.0
2223786.0,2223786.0
2224192.0,2225010.0
2225336.0,2225346.0
2225588.0,2225590.0
2226788.0,2226992.0
2227092.0,2227118.0
2227674.0,2227678.0
2227762.0,2227762.0
2228308.0,2228350.0
2228402.0,2228406.0
2228856.0,2228868.0
2229166.0,2229382.0
2231888.0,2232834.0
2233494.0,2233612.0
2233944.0,2234092.0
2235362.0,2235376.0
2235466.0,2235558.0
2236004.0,2236170.0
2236938.0,2237114.0
2237514.0,2238454.0
2238910.0,2239098.0
2241194.0,2241460.0
2241542.0,2241544.0
2241792.0,2242168.0
2242380.0,2242520.0
2242716.0,2242716.0
2243096.0,2243096.0
2243242.0,2243242.0
2244050.0,2244286.0
2244416.0,2244448.0
2244746.0,2245042.0
2245334.0,2245354.0
2245430.0,2245434.0
2245526.0,2245540.0
2245590.0,2245590.0
2245640.0,2245640.0
2245736.0,2245736.0
2246118.0,2246288.0
2247222.0,2247382.0
2247648.0,2247668.0
2248052.0,2248552.0
2248726.0,2248732.0
2248844.0,2248898.0
2249126.0,2249138.0
2249974.0,2250150.0
2250630.0,2250818.0
2252002.0,2252144.0
2252644.0,2252664.0
2253616.0,2253616.0
2253796.0,2253804.0
2253906.0,2255120.0
2255270.0,2255406.0
2255850.0,2255850.0
2256690.0,2256812.0
2257842.0,2257984.0
2258452.0,2258456.0
2258528.0,2258548.0
2258682.0,2258836.0
2259586.0,2259888.0
2260172.0,2260330.0
2261078.0,2261200.0
2261500.0,2261526.0
2261690.0,2261756.0
2261942.0,2262132.0
2262484.0,2262508.0
2262698.0,2262882.0
2262926.0,2262952.0
2263054.0,2263244.0
2263308.0,2263310.0
2263386.0,2263610.0
2263962.0,2264210.0
2265866.0,2266194.0
2266388.0,2266398.0
2266838.0,2267054.0
2267852.0,2268012.0
2268586.0,2268608.0
2268784.0,2268852.0
2268900.0,2268938.0
2269154.0,2269168.0
2269370.0,2270208.0
2270744.0,2270760.0
2270812.0,2270862.0
2270988.0,2272004.0
2272106.0,2272112.0
2272410.0,2272432.0
2272588.0,2272608.0
2272878.0,2273408.0
2273680.0,2273684.0
2273816.0,2273838.0
2273978.0,2273988.0
2274064.0,2275556.0
2275624.0,2275748.0
2275794.0,2275932.0
2276044.0,2276672.0
2277056.0,2277248.0
2277576.0,2277902.0
2278166.0,2278202.0
2278722.0,2278722.0
2281332.0,2281340.0
2281476.0,2281754.0
2282922.0,2282934.0
2283018.0,2284184.0
