event_type,timestamp,detail
MSG,1190177.0,!CAL
MSG,1190177.0,!CAL Calibration points:
MSG,1190177.0,"!CAL -32.7, -36.8 -0, -0"
MSG,1190177.0,"!CAL -34.5, -47.8 -0, -3183"
MSG,1190177.0,"!CAL -30.9, -22.0 -0, 3183"
MSG,1190177.0,"!CAL -60.2, -35.1 -6000, -0"
MSG,1190177.0,"!CAL -5.6, -36.5 6000, -0"
MSG,1190177.0,"!CAL 0.0, 0.0 0, 0"
MSG,1190177.0,"!CAL eye check box: (L,R,T,B)"
MSG,1190177.0,"!CAL href cal range: (L,R,T,B)"
MSG,1190177.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1190177.0,"!CAL Prenormalize: offx, offy = -32.721 -36.769"
MSG,1190177.0,!CAL Gains: cx:226.907 lx:219.250 rx:236.912
MSG,1190177.0,!CAL Gains: cy:30.196 ty:158.463 by:172.110
MSG,1190177.0,"!CAL Resolution (upd) at screen center: X=1.2, Y=8.7"
MSG,1190177.0,!CAL Gain Change Proportion: X: 0.081 Y: 0.086
MSG,1190177.0,!CAL Y gain out of range
MSG,1190177.0,"!CAL PCR gain ratio(x,y) = 2.186, 2.032"
MSG,1190177.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1190177.0,!CAL Slip rotation correction OFF
MSG,1190178.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1208944.0,"!CAL VALIDATION HV5 R RIGHT FAIR ERROR 1.12 avg. 1.88 max OFFSET 1.06 deg. 26.9,-30.1 pix."
MSG,1208944.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 1.16 deg. 28.6,-33.5 pix."
MSG,1208944.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 1.88 deg. 55.9,-44.7 pix."
MSG,1208944.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.35 deg. 6.4,-11.6 pix."
MSG,1208944.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.98 deg. -2.2,-37.1 pix."
MSG,1208944.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.30 deg. 8.0,8.2 pix."
MSG,1224574.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.67 avg. 1.45 max OFFSET 0.57 deg. 20.2,-8.1 pix."
MSG,1224574.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.40 deg. 14.4,4.9 pix."
