event_type,timestamp,detail
MSG,1394154.0,!CAL
MSG,1394154.0,!CAL Calibration points:
MSG,1394154.0,"!CAL -32.5, -45.5 -0, -0"
MSG,1394154.0,"!CAL -33.9, -61.5 -0, -3183"
MSG,1394154.0,"!CAL -30.5, -29.6 -0, 3183"
MSG,1394154.0,"!CAL -66.6, -41.8 -6000, -0"
MSG,1394154.0,"!CAL 2.1, -47.9 6000, -0"
MSG,1394154.0,"!CAL 0.0, 0.0 0, 0"
MSG,1394154.0,"!CAL eye check box: (L,R,T,B)"
MSG,1394154.0,"!CAL href cal range: (L,R,T,B)"
MSG,1394154.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1394154.0,"!CAL Prenormalize: offx, offy = -32.541 -45.526"
MSG,1394154.0,!CAL Gains: cx:171.338 lx:174.519 rx:168.650
MSG,1394154.0,!CAL Gains: cy:202.663 ty:198.828 by:205.463
MSG,1394154.0,"!CAL Resolution (upd) at screen center: X=1.5, Y=1.3"
MSG,1394154.0,!CAL Gain Change Proportion: X: 0.035 Y: 0.033
MSG,1394154.0,!CAL Gain Ratio (Gy/Gx) = 1.183
MSG,1394154.0,"!CAL PCR gain ratio(x,y) = 1.891, 1.740"
MSG,1394154.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1394154.0,!CAL Slip rotation correction OFF
MSG,1394154.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1411176.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.32 avg. 0.47 max OFFSET 0.25 deg. -9.6,-0.1 pix."
MSG,1411176.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.29 deg. -11.0,-0.0 pix."
MSG,1411176.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.41 deg. -11.2,-11.1 pix."
MSG,1411176.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.47 deg. -16.7,6.7 pix."
MSG,1411176.0,"VALIDATE R 4POINT 3 RIGHT at 115,540 OFFSET 0.31 deg. 11.3,-3.7 pix."
MSG,1411176.0,"VALIDATE R 4POINT 4 RIGHT at 1805,540 OFFSET 0.16 deg. -6.1,0.3 pix."
MSG,1426380.0,NO Reply is disabled for function eyelink_cal_result
MSG,1528276.0,ALL_STORY_START
MSG,1528281.0,RECCFG CR 500 2 0 R
MSG,1528281.0,ELCLCFG MTABLER
MSG,1528281.0,GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG,1528281.0,THRESHOLDS R 99 222
MSG,1528281.0,ELCL_WINDOW_SIZES 176 188 0 0
MSG,1528281.0,CAMERA_LENS_FOCAL_LENGTH 38.00
MSG,1528281.0,PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG,1528281.0,ELCL_PROC ELLIPSE (5)
MSG,1528281.0,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
START,1528282.0,RIGHT SAMPLES EVENTS
MSG,1528282.0,!MODE RECORD CR 500 2 0 R
SFIX R,1528286.0,
EFIX R,1528286.0,1528606 322 776.7 607.7 2193
SSACC R,1528608.0,
ESACC R,1528608.0,1528632 26 778.2 596.8 871.2 592.1 2.52 202
SFIX R,1528634.0,
EFIX R,1528634.0,1528876 244 868.3 592.1 2297
SSACC R,1528878.0,
SBLINK R,1528906.0,
EBLINK R,1528906.0,1529022 118
ESACC R,1528878.0,1529078 202 871.3 599.0 958.6 544.8 2.78 1345
SFIX R,1529080.0,
EFIX R,1529080.0,1529188 110 953.3 546.5 2312
SSACC R,1529190.0,
ESACC R,1529190.0,1529218 30 950.5 549.6 980.9 540.4 0.86 136
SFIX R,1529220.0,
EFIX R,1529220.0,1530464 1246 985.0 530.0 2436
SSACC R,1530466.0,
ESACC R,1530466.0,1530488 24 987.8 535.8 1049.6 515.9 1.76 134
SFIX R,1530490.0,
EFIX R,1530490.0,1530528 40 1038.2 514.3 2548
SSACC R,1530530.0,
ESACC R,1530530.0,1530560 32 1036.8 513.8 981.3 519.0 1.51 194
SFIX R,1530562.0,
EFIX R,1530562.0,1530702 142 975.5 518.4 2589
SSACC R,1530704.0,
ESACC R,1530704.0,1530724 22 974.3 517.3 1012.1 525.5 1.05 108
SFIX R,1530726.0,
EFIX R,1530726.0,1533916 3192 995.3 521.2 2783
SSACC R,1533918.0,
ESACC R,1533918.0,1533940 24 995.0 517.8 1029.5 519.9 0.94 96
SFIX R,1533942.0,
EFIX R,1533942.0,1534152 212 1014.9 516.3 3104
SSACC R,1534154.0,
ESACC R,1534154.0,1534174 22 1012.0 516.5 986.4 509.5 0.72 102
SFIX R,1534176.0,
EFIX R,1534176.0,1534994 820 982.3 519.2 3093
SSACC R,1534996.0,
ESACC R,1534996.0,1535018 24 973.1 524.9 1005.5 523.5 0.88 114
SFIX R,1535020.0,
EFIX R,1535020.0,1535350 332 992.3 523.3 3033
SSACC R,1535352.0,
SBLINK R,1535378.0,
EBLINK R,1535378.0,1535470 94
ESACC R,1535352.0,1535534 184 997.4 534.4 997.6 508.6 0.70 1585
SFIX R,1535536.0,
EFIX R,1535536.0,1536630 1096 992.2 525.0 2633
SSACC R,1536632.0,
ESACC R,1536632.0,1536650 20 983.3 527.1 1023.4 537.9 1.13 104
SFIX R,1536652.0,
EFIX R,1536652.0,1536970 320 997.6 527.7 2726
SSACC R,1536972.0,
ESACC R,1536972.0,1536988 18 996.8 519.7 979.1 504.6 0.63 78
SFIX R,1536990.0,
EFIX R,1536990.0,1538008 1020 981.9 508.4 2933
SSACC R,1538010.0,
ESACC R,1538010.0,1538028 20 986.4 510.0 1040.8 514.9 1.48 126
SFIX R,1538030.0,
EFIX R,1538030.0,1538298 270 1021.8 514.5 2994
SSACC R,1538300.0,
SBLINK R,1538328.0,
EBLINK R,1538328.0,1538438 112
ESACC R,1538300.0,1538522 224 1024.4 524.2 999.4 497.4 0.99 1494
SFIX R,1538524.0,
EFIX R,1538524.0,1538672 150 999.2 499.8 2974
SSACC R,1538674.0,
ESACC R,1538674.0,1538692 20 1000.7 503.2 975.1 515.8 0.77 90
SFIX R,1538694.0,
EFIX R,1538694.0,1539232 540 977.9 530.1 2676
SSACC R,1539234.0,
ESACC R,1539234.0,1539296 64 970.1 551.0 957.1 543.9 0.40 134
SFIX R,1539298.0,
EFIX R,1539298.0,1540056 760 967.2 544.8 2331
SSACC R,1540058.0,
ESACC R,1540058.0,1540078 22 971.3 535.5 996.5 532.0 0.69 81
SFIX R,1540080.0,
EFIX R,1540080.0,1541714 1636 991.3 523.9 2771
SSACC R,1541716.0,
ESACC R,1541716.0,1541730 16 991.7 526.4 959.1 523.8 0.89 79
SFIX R,1541732.0,
EFIX R,1541732.0,1541938 208 967.2 523.2 2938
SSACC R,1541940.0,
ESACC R,1541940.0,1541962 24 967.7 525.0 1016.2 519.9 1.32 126
SFIX R,1541964.0,
EFIX R,1541964.0,1542240 278 1001.9 524.0 2938
SSACC R,1542242.0,
SBLINK R,1542274.0,
EBLINK R,1542274.0,1542402 130
ESACC R,1542242.0,1542480 240 1008.7 533.4 992.7 509.1 0.79 1308
SFIX R,1542482.0,
EFIX R,1542482.0,1542610 130 986.4 508.6 2823
SSACC R,1542612.0,
ESACC R,1542612.0,1542628 18 985.3 510.3 1003.2 529.7 0.72 74
SFIX R,1542630.0,
EFIX R,1542630.0,1544806 2178 989.0 533.2 2696
SSACC R,1544808.0,
ESACC R,1544808.0,1544824 18 994.4 533.5 1033.5 517.6 1.14 104
SFIX R,1544826.0,
EFIX R,1544826.0,1544864 40 1025.5 519.0 2954
SSACC R,1544866.0,
ESACC R,1544866.0,1544896 32 1023.7 519.3 978.0 518.0 1.24 161
SFIX R,1544898.0,
EFIX R,1544898.0,1545058 162 972.7 520.1 2949
SSACC R,1545060.0,
ESACC R,1545060.0,1545076 18 973.4 519.9 1007.0 528.3 0.94 86
SFIX R,1545078.0,
EFIX R,1545078.0,1545854 778 991.5 527.9 2839
SSACC R,1545856.0,
SBLINK R,1545886.0,
EBLINK R,1545886.0,1545992 108
ESACC R,1545856.0,1546054 200 995.9 538.9 1001.8 515.5 0.65 1270
SFIX R,1546056.0,
EFIX R,1546056.0,1546388 334 995.9 517.9 2752
SSACC R,1546390.0,
ESACC R,1546390.0,1546396 8 990.1 525.2 1000.9 532.8 0.36 52
SFIX R,1546398.0,
EFIX R,1546398.0,1547228 832 979.8 545.3 2426
SSACC R,1547230.0,
ESACC R,1547230.0,1547240 12 971.9 537.4 973.1 516.1 0.58 64
SFIX R,1547242.0,
EFIX R,1547242.0,1547604 364 974.0 516.4 2377
SSACC R,1547606.0,
SBLINK R,1547632.0,
EBLINK R,1547632.0,1547740 110
ESACC R,1547606.0,1547796 192 983.9 530.0 1012.2 516.5 0.85 1433
SFIX R,1547798.0,
EFIX R,1547798.0,1547948 152 1010.6 515.7 2479
SSACC R,1547950.0,
ESACC R,1547950.0,1547964 16 1009.1 518.3 980.2 531.9 0.87 85
SFIX R,1547966.0,
EFIX R,1547966.0,1548814 850 976.8 544.5 2270
SSACC R,1548816.0,
ESACC R,1548816.0,1548826 12 971.3 555.3 989.3 543.3 0.59 61
SFIX R,1548828.0,
EFIX R,1548828.0,1549096 270 984.7 545.0 2035
SSACC R,1549098.0,
ESACC R,1549098.0,1549112 16 984.7 546.1 969.7 551.8 0.43 55
SFIX R,1549114.0,
